"subject","startDate","endDate","allDayEvent"
"Pós-graduação lato sensu: período de matrícula 2021.1 de alunos novos/veteranos (via internet na coordenação de curso) -  Início","01/03/2021","01/03/2021",true
"Pós-graduação stricto sensu: período de oferta de disciplinas para o semestre 2021.1 – Início Período de matrícula 2021.1 de alunos veteranos / novatos (via Internet) – Início ","01/03/2021","01/03/2021",true
"Pós-graduação stricto sensu: homologação das matrículas 2021.1 pelos orientadores / coordenadores de cursos (via Internet) - Início","01/03/2021","01/03/2021",true
"Aniversário de 55 anos da Pró-Reitoria de Assuntos Estudantis","04/03/2021","04/03/2021",true
"Recesso escolar - Semana Santa","01/04/2021","01/04/2021",true
"Feriado Nacional - Paixão de Cristo","02/04/2021","02/04/2021",true
"Dia do Atuário","03/04/2021","03/04/2021",true
" VI Semana de Ciências Ambientais – Instituto de Ciências do Mar","05/04/2021","08/04/2021",true
"VI Acessibilidade em Ação – Secretaria de Acessibilidade UFC Inclui","06/04/2021","09/04/2021",true
"XVI Jornada ODONTOPET e VII Encontro do Programa de Pós-Graduação em Odontologia da UFC","08/04/2021","10/04/2021",true
"Dia Internacional da Biomecânica","08/04/2021","08/04/2021",true
"Término do Semestre Letivo 2020.2 (Cursos de graduação presenciais) Último dia para pedidos de Trancamento Total, referente ao semestre 2020.2 ","10/04/2021","10/04/2021",true
"Término do prazo para encaminhamento à PROGRAD/COPAC de processos de atualizações em estruturas curriculares de cursos de graduação para implantação a partir do período letivo 2021.2","10/04/2021","10/04/2021",true
"Último dia para para requerimento de Distinção Acadêmica (Cum Laude, Magna Cum Laude e Summa Cum Laude) nas Coordenações de Curso de Graduação pelos alunos concludentes do semestre 2021.2","11/04/2021","11/04/2021",true
"Período para requerimento de aproveitamento de estudos (nas Coordenações de Curso) – Início","12/04/2021","12/04/2021",true
"Casas de Cultura Estrangeira: exames finais","12/04/2021","15/04/2021",true
"Período de Avaliações Finais do Semestre 2020.2 – todos os campi","12/04/2021","19/04/2021",true
"Abril Literário – Centro de Humanidades","12/04/2021","23/04/2021",true
"Período de ajuste de demanda e oferta de turmas para Matrícula 2021.1 para Coordenações de Curso, Chefias de Departamento e Diretorias de Unidades Acadêmicas – Término","15/04/2021","15/04/2021",true
"Casas de Cultura Estrangeira: consolidação e síntese de notas e frequências","17/04/2021","22/04/2021",true
"Consolidação das sínteses de notas e frequências 2020.2 das disciplinas semestrais e anuais pelos professores – Prazo Final","19/04/2021","19/04/2021",true
"Data de fechamento para cálculo do IRA-Individual e do IRA-Geral em todos os cursos de graduação","20/04/2021","20/04/2021",true
"Publicação na Internet da Oferta de Turmas para Matrícula no semestre 2021.1","20/04/2021","20/04/2021",true
"Feriado Nacional – Dia de Tiradentes","21/04/2021","21/04/2021",true
"Período de Matrícula Curricular e Institucional 2021.1 para alunos veteranos (via Internet e nas Coordenações de Curso)","22/04/2021","26/04/2021",true
"Dia do Contabilista","25/04/2021","25/04/2021",true
"Graduação a distância: período de Matrícula Curricular e Institucional 2021.1 (via Internet)  ","26/04/2021","29/04/2021",true
"Ajuste de Demanda e Oferta 2021.1 (Coordenações de Curso, Chefias de Departamento, Diretorias de Unidades Acadêmicas e CPAc)","27/04/2021","28/04/2021",true
"12º Aniversário de criação do Curso de Fisioterapia - Faculdade de Medicina","29/04/2021","29/04/2021",true
"Pós-graduação stricto sensu:  período de oferta de disciplinas para o semestre 2021.1 – Término Período de matrícula 2021.1 de alunos veteranos / novatos (via Internet) –  Término ","29/04/2021","29/04/2021",true
"Pós-graduação stricto sensu: homologação das matrículas 2021.1 pelos orientadores / coordenadores de cursos (via Internet) - Término","30/04/2021","30/04/2021",true
"Feriado Nacional – Dia do Trabalho","01/05/2021","01/05/2021",true
"Pré-Agrárias - Recepção dos Calouros dos Cursos de Graduação do Centro de Ciências Agrárias","03/05/2021","06/05/2021",true
"Pré-Engenharia – Centro de Tecnologia","03/05/2021","07/05/2021",true
"Ajuste de Matrícula 2021.1 para alunos veteranos (via Internet e nas Coordenações de Curso)","03/05/2021","04/05/2021",true
"Semana Zero da Farmácia 2021.1 - Faculdade de Farmácia, Odontologia e Enfermagem","04/05/2021","07/05/2021",true
"Graduação a distância: período de Ajuste de Matrícula 2021.1 (via Internet)","05/05/2021","07/05/2021",true
"Ajuste de Demanda e Oferta 2021.1 (Coordenações de Curso, Chefias de Departamento, Diretorias de Unidades Acadêmicas e CPAc)","05/05/2021","06/05/2021",true
"XDIMA: Diálogos da Matemática com a Pedagogia - Faculdade de Educação","06/05/2021","06/05/2021",true
"15 anos da criação dos Cursos de Graduação: Ciências Econômicas, Engenharia Elétrica, Engenharia da Computação, Psicologia e Odontologia – Campus da UFC em Sobral","09/05/2021","09/05/2021",true
"Graduação a distância: início do período letivo 2021.1","10/05/2021","10/05/2021",true
"Pós-graduação stricto e lato sensu: início do período letivo 2021.1","10/05/2021","10/05/2021",true
"Recepção dos novos estudantes ingressantes em 2021.1 pelas Coordenações de Curso e Diretorias de Unidades Acadêmicas","10/05/2021","11/05/2021",true
"Encontro Pedagógico com os docentes do Curso de Farmácia - Faculdade de Farmácia, Odontologia e Enfermagem","10/05/2021","11/05/2021",true
"Semana de Ambientação e Integração - Campus da UFC em Crateús","10/05/2021","11/05/2021",true
"Semana Pedagógica e de Integração Docente - Campus da UFC em Crateús","10/05/2021","11/05/2021",true
"Ambientação para recém-ingressos do Curso de Graduação em Finanças - Campus da UFC em Sobral","10/05/2021","10/05/2021",true
"Início do Período Letivo 2021.1 (cursos de graduação presenciais - sistema semestral e anual)","10/05/2021","10/05/2021",true
"Aniversário de fundação do Diretório Central dos Estudantes (DCE) da UFC","10/05/2021","10/05/2021",true
"I Semana Pedagógica da Universidade Federal do Ceará (I SEMPED) - Coordenação de Inovação e Desenvolvimento Acadêmico - COIDEA/EIDEIA","10/05/2021","14/05/2021",true
"XIV Semana de Humanidades - Centro de Humanidades","10/05/2021","14/05/2021",true
"73º Aniversário de fundação da Faculdade de Medicina","12/05/2021","12/05/2021",true
"Dia do Zootecnista – Centro de Ciências Agrárias","13/05/2021","13/05/2021",true
"1º Período de Ajuste de Matrícula em Tempo Real 2021.1 para alunos veteranos (via Internet)","13/05/2021","14/05/2021",true
"Período de requerimento de matrícula 2021.1 para estudantes dos PROGRAMAS DE MOBILIDADE ACADÊMICA (nas Coordenações de Curso)","17/05/2021","18/05/2021",true
"Dia do Físico","19/05/2021","19/05/2021",true
"2º Período de Ajuste de Matrícula em Tempo Real 2021.1 para alunos veteranos (via Internet)","20/05/2021","20/05/2021",true
"XDIMA: Diálogos da Matemática com a Pedagogia - Faculdade de Educação","20/05/2021","20/05/2021",true
"Treinamento sobre a base de dados Compendex (Engineering Village) - Biblioteca Universitária","21/05/2021","21/05/2021",true
"IX Semana de Inclusão e Acessibilidade - Secretaria de Acessibilidade UFC Inclui","22/05/2021","25/05/2021",true
"School of Real Geometry in Fortaleza (ScReDeFor) – Centro de Ciências","24/05/2021","28/05/2021",true
"Semana da Geologia – Centro de Ciências","24/05/2021","30/05/2021",true
"Semana da Estatística – Centro de Ciências","27/05/2021","29/05/2021",true
"Treinamento sobre a base de dados Embase - Biblioteca Universitária","28/05/2021","28/05/2021",true
"Live - evento em comemoração ao Dia do(a) Geógrafo(a) – Centro de Ciências","28/05/2021","28/05/2021",true
"Dia do Estatístico – Centro de Ciências","29/05/2021","29/05/2021",true
"Corpus Christi - Ponto facultativo (de acordo com a Portaria nº 430, de 30 de dezembro de 2020, do Ministério da Economia)","03/06/2021","03/06/2021",true
"IV Semana do Meio Ambiente – Campus da UFC em Crateús","04/06/2021","05/06/2021",true
"Dia do Produtor Rural","05/06/2021","05/06/2021",true
"Casas de Cultura Estrangeira: Início do semestre letivo 2021.1","07/06/2021","07/06/2021",true
"Processamento do cancelamento de programas de alunos sem matrícula em disciplina, sem trancamento total e sem matrícula institucional em 2021.1","08/06/2021","08/06/2021",true
"Dia do Oceanógrafo","08/06/2021","08/06/2021",true
"Publicação do cancelamento de programas de alunos sem matrícula em disciplina, sem trancamento total e sem matrícula institucional em 2021.1","09/06/2021","09/06/2021",true
"Período para requerimento de aproveitamento de estudos (nas Coordenações de Curso) – Término","11/06/2021","11/06/2021",true
"Pós-graduação stricto sensu: homologação do ajuste de matrícula pelos orientadores / coordenadores de cursos (via internet)","14/06/2021","17/06/2021",true
"Período para solicitação de reabertura de matrícula para 2021.2 dos cursos de graduação presencial","14/06/2021","18/06/2021",true
"Graduação a distância: período para solicitação de reabertura de matrícula para 2021.2","14/06/2021","18/06/2021",true
"Pós-graduação stricto sensu: período de ajuste de matrícula 2021.1 (via internet)","14/06/2021","15/06/2021",true
"XII Mostra Acadêmica de Enfermagem: uma voz para liderar - Faculdade de Farmácia, Odontologia e Enfermagem","17/06/2021","19/06/2021",true
"XXVIII Jornada de Cirurgia – Faculdade de Medicina","17/06/2021","18/06/2021",true
"Treinamento sobre a base de dados Sciencedirect - Biblioteca Universitária","18/06/2021","18/06/2021",true
"Dia Internacional das Mulheres na Engenharia (DIME) – Centro de Tecnologia","23/06/2021","23/06/2021",true
"Data de fechamento para o recálculo do IRA-Individual e do IRA-Geral em todos os cursos de graduação","25/06/2021","25/06/2021",true
"66º aniversário de instalação da UFC 13º aniversário de criação do Instituto de Cultura e Arte – Unidade Acadêmica 13º aniversário de criação do Instituto de Ciências do Mar – Unidade Acadêmica ","25/06/2021","25/06/2021",true
"Treinamento sobre a base de dados Scopus - Biblioteca Universitária","25/06/2021","25/06/2021",true
"Live - evento em comemoração ao dia do(a) professor(a) de geografia – Centro de Ciências","25/06/2021","25/06/2021",true
"Karaokê no Bosque – Centro de Humanidades","25/06/2021","25/06/2021",true
"Prévia do IV Encontro Nacional de Políticas Públicas (IV ENPP) – Centro de Ciências Agrárias","29/06/2021","30/06/2021",true
"Término do prazo para encaminhamento à PROGRAD/COPAC de processo de reformulação/ajuste de Projeto Pedagógico de Curso (PPC), para implantação a partir do período letivo 2022.1","30/06/2021","30/06/2021",true
"Término do semestre letivo 2021.1 na UUNDC","30/06/2021","30/06/2021",true
"X Jornada da Farmácia da UFC (X JOFAR - UFC) – Faculdade de Farmácia, Odontologia e Enfermagem","01/07/2021","03/07/2021",true
"Último dia para para requerimento de Distinção Acadêmica (Cum Laude, Magna Cum Laude e Summa Cum Laude), nas Coordenações de Curso de Graduação, pelos alunos concludentes do semestre 2020.2.","02/07/2021","02/07/2021",true
"Feriado Municipal em SOBRAL – Aniversário de Sobral","05/07/2021","05/07/2021",true
"Graduação a distância: trancamento parcial de matrícula 2021.1","05/07/2021","07/07/2021",true
"Período de supressão de matrícula 2021.1 (via internet)","05/07/2021","09/07/2021",true
"Treinamento sobre o gerenciador de referências Mendeley - Biblioteca Universitária","05/07/2021","05/07/2021",true
"Feriado Municipal em CRATEÚS – Emancipação Política","06/07/2021","06/07/2021",true
"Reunião de Acompanhamento PDI - 2º Trimestre/2021","07/07/2021","07/07/2021",true
"Graduação a distância: período de resposta, por parte da Diretoria de Unidades Acadêmica, às demandas de turma para matrícula 2021.2 feitas pelas Coordenações dos Cursos de graduação a distância ","12/07/2021","16/07/2021",true
"Graduação a distância: período de resposta, por parte da Diretoria de Unidades Acadêmica, às demandas de turma para matrícula 2021.2 feitas pelas Coordenações dos Cursos de graduação a distância ","23/07/2021","30/07/2021",true
"XV Semana do Direito – Faculdade de Direito","26/07/2021","30/07/2021",true
"Workshop de Tecnologia da Informação do Sertão Central WTISC UFC – Campus da UFC em Quixadá","27/07/2021","29/07/2021",true
"Último dia para remessa à PROGRAD do processo eletrônico contendo relação dos alunos indicados pelas Coordenações de Curso de Graduação para concessão de distinção acadêmica (Cum Laude, Magna Cum Laude e Summa Cum Laude) - PRAZO PRORROGADO PARA 06 DE AGOSTO DE 2021","30/07/2021","30/07/2021",true
"Karaokê no Bosque – Centro de Humanidades","30/07/2021","30/07/2021",true
"Início do semestre letivo 2021.2 na UUNDC","02/08/2021","02/08/2021",true
"Período de demanda de turmas regulares semestrais e anuais para Matrícula 2021.2 pelas Coordenações de Cursos de graduação","02/08/2021","13/08/2021",true
"Feriado Municipal em RUSSAS – Emancipação Política","06/08/2021","06/08/2021",true
"II Reunião Indígena Universitária do Ceará – Centro de Humanidades","06/08/2021","06/08/2021",true
"Semana ECOFIN e Dia do Economista – Campus da UFC em Sobral","11/08/2021","12/08/2021",true
"Empreenday – Campus da UFC em Quixadá","11/08/2021","12/08/2021",true
"Dia do Economista","13/08/2021","13/08/2021",true
"6º Aniversário de criação do Departamento de Fisioterapia - Faculdade de Medicina","14/08/2021","14/08/2021",true
"Feriado Municipal em FORTALEZA – Dia de Nossa Senhora da Assunção","15/08/2021","15/08/2021",true
"Pós-graduação stricto sensu: homologação do trancamento parcial de matrícula em disciplinas pelos orientadores / coordenadores de cursos (via internet)","16/08/2021","19/08/2021",true
"Pós-graduação stricto sensu: trancamento parcial de matrícula 2021.1 em disciplinas (via Internet)","16/08/2021","17/08/2021",true
"Período de resposta, por parte das Chefias de Departamento e Diretorias de Unidades Acadêmicas, às demandas de turma para matrícula 2021.2 feitas pelas Coordenações dos Cursos de graduação","17/08/2021","23/08/2021",true
"I Semana de Escrita Acadêmica da Biblioteca Central do Campus do Pici – Biblioteca Universitária","18/08/2021","20/08/2021",true
"Período de ajuste de demanda e oferta de turmas para matrícula 2021.2 para Coordenações de Curso, Chefias de Departamento e Diretorias de Unidades Acadêmicas – Início","26/08/2021","26/08/2021",true
"Karaokê no Bosque – Centro de Humanidades","27/08/2021","27/08/2021",true
"Término do prazo para encaminhamento à PROGRAD/COPAC de processos de atualizações em estruturas curriculares de cursos de graduação para implantação a partir do período letivo 2022.1","30/08/2021","30/08/2021",true
"Pós-graduação lato sensu: período de matrícula 2021.1 de alunos novos/veteranos (via internet na coordenação de curso) -  Término","01/09/2021","01/09/2021",true
"Abertura da Campanha Setembro Amarelo – Faculdade de Medicina","01/09/2021","01/09/2021",true
"Término do Semestre Letivo 2021.1 – 100 dias letivos (Cursos de graduação presenciais)
Último dia para pedidos de Trancamento Total, referente ao semestre 2021.1 ","02/09/2021","02/09/2021",true
"Casas de Cultura Estrangeira: término do semestre letivo 2021.1","02/09/2021","02/09/2021",true
"Graduação a distância: término do período letivo 2021.1
Último dia para pedidos de Trancamento Total de matrícula, referente ao semestre 2021.1 ","02/09/2021","02/09/2021",true
"Pós-graduação stricto e lato sensu: término do Período Letivo 2021.1","02/09/2021","02/09/2021",true
"Dia do Biólogo","03/09/2021","03/09/2021",true
"Período de Avaliações Finais do Semestre 2021.1 – Todos os campi","03/09/2021","11/09/2021",true
"Período para requerimento de aproveitamento de estudos (nas Coordenações de Curso) – Início","06/09/2021","06/09/2021",true
"Graduação a distância: consolidação das sínteses de notas e frequências 2021.1 – Prazo Final","06/09/2021","06/09/2021",true
"Feriado Nacional – Independência do Brasil","07/09/2021","07/09/2021",true
"Dia do Administrador","09/09/2021","09/09/2021",true
