"subject","startDate","endDate","allDayEvent"
"Consolidação das sínteses de notas e frequências 2021.1 das disciplinas semestrais e anuais pelos professores – Prazo Final","11/09/2021","11/09/2021",true
"Período de ajuste de demanda e oferta de turmas para matrícula 2021.2 para Coordenações de Curso, Chefias de Departamento e Diretorias de Unidades Acadêmicas – Término","11/09/2021","11/09/2021",true
"Data de fechamento para o cálculo do IRA-Geral e IRA-Individual relativo a 2021.1 em todos os cursos de graduação","13/09/2021","13/09/2021",true
"Publicação na Internet da oferta de turmas para matrícula no semestre 2021.2","13/09/2021","13/09/2021",true
"Pós-graduação lato sensu: período de matrícula 2021.2 de alunos novos/veteranos (via coordenação de curso) - Início","13/09/2021","13/09/2021",true
"Graduação a distância: período de Matrícula Curricular e Institucional 2021.2 (via Internet)","13/09/2021","16/09/2021",true
"Pós-graduação stricto sensu: oferta de disciplinas para o semestre 2021.2","13/09/2021","17/09/2021",true
"Período de Matrícula Curricular e Institucional 2021.2 para alunos veteranos (via Internet e nas Coordenações de Curso)","14/09/2021","16/09/2021",true
"Ajuste de Demanda e Oferta 2021.2 (Coordenações de Curso, Chefias de Departamento, Diretorias de Unidades Acadêmicas e CPAc)","17/09/2021","18/09/2021",true
"XI Jornada Odontológica de Sobral (XI JOSb), XIII Jornada Sobralense de Estomatologia, Radiologia Odontológica e Patologia Oral (XIII JOERP) – Campus da UFC em Sobral","17/09/2021","18/09/2021",true
"Karaokê no Bosque – Centro de Humanidades","17/09/2021","17/09/2021",true
"Semana da Física – Centro de Ciências","20/09/2021","24/09/2021",true
"XII Semana da Química – Centro de Ciências","20/09/2021","24/09/2021",true
"Sustentabilidade na produção animal: cenário, desafios e contradições – Centro de Ciências Agrárias","20/09/2021","24/09/2021",true
"Graduação a distância: período de Ajuste de Matrícula 2021.2 (via Internet)","21/09/2021","23/09/2021",true
"Pós-graduação stricto sensu: período de matrícula 2021.2 de alunos veteranos / novatos (via Internet)","21/09/2021","23/09/2021",true
"Pós-graduação stricto sensu: homologação das matrículas 2021.2 pelos orientadores / coordenadores de cursos (via Internet)","21/09/2021","24/09/2021",true
"Semana Zero da Farmácia 2021.2 - Faculdade de Farmácia, Odontologia e Enfermagem","21/09/2021","24/09/2021",true
"Ajuste de Matrícula 2021.2 para alunos veteranos (via Internet e nas Coordenações de Curso","21/09/2021","22/09/2021",true
"Dia do Contador ","22/09/2021","22/09/2021",true
"Ajuste de Demanda e Oferta 2021.2 (Coordenações de Curso, Chefias de Departamento, Diretorias de Unidades Acadêmicas e CPAc)","23/09/2021","24/09/2021",true
"Encontro da Rede Ibero-americanos de Resistência e Memória – Centro de Humanidades","23/09/2021","24/09/2021",true
"Graduação a distância: início do período letivo 2021.2","27/09/2021","27/09/2021",true
"Pós-graduação stricto e lato sensu: início do período letivo 2021.2","27/09/2021","27/09/2021",true
"Semana Acadêmica da Gastronomia UFC – Instituto de Cultura e Arte","27/09/2021","30/09/2021",true
"Semana do Secretariado - Faculdade de Economia, Administração, Atuária e Contabilidade","27/09/2021","30/09/2021",true
"Recepção dos novos estudantes ingressantes em 2021.2 pelas Coordenações de Curso e Diretorias de Unidades Acadêmicas","27/09/2021","28/09/2021",true
"Encontro Pedagógico com os docentes do Curso de Farmácia - Faculdade de Farmácia, Odontologia e Enfermagem","27/09/2021","28/09/2021",true
"II Semana Pedagógica da UFC (II SEMPED) - Coordenação de Inovação e Desenvolvimento Acadêmico - COIDEA/EIDEIA e Pró-Reitoria de Graduação - Início","27/09/2021","27/09/2021",true
"Início do Período Letivo 2021.2 (cursos de graduação presenciais - sistema semestral e anual)","27/09/2021","27/09/2021",true
"Dia Internacional do Tradutor","30/09/2021","30/09/2021",true
"1º Período de Ajuste de Matrícula em Tempo Real 2021.2 para alunos veteranos (via Internet) - Início","30/09/2021","30/09/2021",true
"Dia do Secretário Executivo","30/09/2021","30/09/2021",true
"1º Período de Ajuste de Matrícula em Tempo Real 2021.2 para alunos veteranos (via Internet) - Término","01/10/2021","01/10/2021",true
"II Semana Pedagógica da UFC (II SEMPED) - Coordenação de Inovação e Desenvolvimento Acadêmico - COIDEA/EIDEIA e Pró-Reitoria de Graduação - Término","01/10/2021","01/10/2021",true
"III Seminário Nacional História e Patrimônio Cultural: Patrimônio, Resistência e Direitos – Centro de Humanidades","04/10/2021","08/10/2021",true
"Período de requerimento de matrícula 2021.2 para estudantes dos PROGRAMAS DE MOBILIDADE ACADÊMICA (nas Coordenações de Curso)","04/10/2021","05/10/2021",true
"III Semana do Idoso do Departamento de Enfermagem da UFC - Faculdade de Farmácia, Odontologia e Enfermagem","06/10/2021","08/10/2021",true
"Feriado Municipal em RUSSAS – Dia da Padroeira (N. Sra. do Rosário)","07/10/2021","07/10/2021",true
"2º Período de Ajuste de Matrícula em Tempo Real 2021.2 para alunos veteranos (via Internet)","07/10/2021","07/10/2021",true
"Reunião de Acompanhamento PDI - 3º Trimestre/2021","07/10/2021","07/10/2021",true
"XIX Jornada Odontológica Integrada dos Acadêmicos da UFC (XIX JOIA) - Faculdade de Farmácia, Odontologia e Enfermagem","08/10/2021","10/10/2021",true
"Dia do Engenheiro Agrônomo ","12/10/2021","12/10/2021",true
"Feriado Nacional – Dia de Nossa Senhora Aparecida","12/10/2021","12/10/2021",true
"XXXI Semana de Agronomia","12/10/2021","15/10/2021",true
"Recesso Escolar – Dia do Professor","15/10/2021","15/10/2021",true
"Dia Nacional do Engenheiro de Alimentos","16/10/2021","16/10/2021",true
"I Semana de Engenharia na Biblioteca de Pós-graduação em Engenharia-Prof. Expedito José de Sá Parente – Biblioteca Universitária","20/10/2021","22/10/2021",true
"Semana Acadêmica da Computação – Centro de Ciências","25/10/2021","29/10/2021",true
"Semana do Servidor – Pró-Reitoria de Gestão de Pessoas","25/10/2021","29/10/2021",true
"II Semana Nacional do Livro e da Biblioteca da Biblioteca Central do Campus do Pici – Biblioteca Universitária","26/10/2021","29/10/2021",true
"III Semana do Livro e da Biblioteca – Biblioteca Universitária","26/10/2021","27/10/2021",true
"Feriado Municipal em QUIXADÁ – Dia do Município","27/10/2021","27/10/2021",true
"Semana da Matemática Industrial – Centro de Ciências","27/10/2021","29/10/2021",true
"Semana do Livro e da Biblioteca - Campus da UFC em Crateús","28/10/2021","29/10/2021",true
"Ponto facultativo - Dia do Servidor Público – alusivo ao dia 28 de outubro (de acordo com a Portaria nº 430, de 30 de dezembro de 2020, do Ministério da Economia)","01/11/2021","01/11/2021",true
"VI Semana de Metodologia & Produção Científica (SMPC) – Biblioteca Universitária","01/11/2021","05/11/2021",true
"Feriado Nacional – Dia de Finados","02/11/2021","02/11/2021",true
"Processamento do cancelamento de programas de alunos sem matrícula em disciplina, sem trancamento total e sem matrícula institucional em 2021.2","03/11/2021","03/11/2021",true
"Último dia para para requerimento de Distinção Acadêmica (Cum Laude, Magna Cum Laude e Summa Cum Laude) nas Coordenações de Curso de Graduação pelos alunos concludentes do semestre 2021.1","03/11/2021","03/11/2021",true
"Publicação do cancelamento de programas de alunos sem matrícula em disciplina, sem trancamento total e sem matrícula institucional em 2021.2","04/11/2021","04/11/2021",true
"Dia Nacional do Design ","05/11/2021","05/11/2021",true
"Período para requerimento de aproveitamento de estudos (nas Coordenações de Curso) – Término","05/11/2021","05/11/2021",true
"Período para solicitação de reabertura de matrícula para 2022.1 dos cursos de graduação presencial","08/11/2021","12/11/2021",true
"Período de supressão de matrícula 2021.2 (via internet)","08/11/2021","12/11/2021",true
"Graduação a distância: período de solicitação de reabertura de matrícula para 2022.1","08/11/2021","12/11/2021",true
"XIII Campanha de Preservação do Acervo – Biblioteca Universitária","08/11/2021","12/11/2021",true
"Semana da Biologia – Centro de Ciências","08/11/2021","12/11/2021",true
"11º Congresso Brasileiro de Epidemiologia (ABRASCO) – Faculdade de Medicina","13/11/2021","17/11/2021",true
"Semana da Atuária - Faculdade de Economia, Administração, Atuária e Contabilidade","15/11/2021","19/11/2021",true
"Feriado Nacional - Proclamação da República","15/11/2021","15/11/2021",true
"Gisday (Dia dos Sistemas de Informação Geográfica) – Centro de Ciências","17/11/2021","17/11/2021",true
"Jornada Acadêmica de Educação em Saúde Digital (JAESD) - Faculdade de Medicina","18/11/2021","20/11/2021",true
"Data de fechamento para recálculo do IRA-Individual e do IRA-Geral em todos os cursos de graduação","19/11/2021","19/11/2021",true
"Pós-graduação stricto sensu: homologação do ajuste de matrícula pelos orientadores / coordenadores de cursos (via Internet)","22/11/2021","25/11/2021",true
"Pós-graduação stricto sensu: período de ajuste de matrícula 2021.2 (via Internet)","22/11/2021","23/11/2021",true
"VII Acessibilidade em Ação - Secretaria de Acessibilidade UFC Inclui","23/11/2021","26/11/2021",true
"Feriado Municipal em RUSSAS - Passagem da Imagem de Nossa Senhora de Fátima por Russas","27/11/2021","27/11/2021",true
"Período de demanda de turmas para Matrícula 2022.1 pelas Coordenações de Cursos de graduação a distância – Início","29/11/2021","29/11/2021",true
"Maratona do Conhecimento – Campus da UFC em Quixadá","29/11/2021","30/11/2021",true
"VIII Fórum de Inovação e Tecnologia e II Semana das Engenharias – Campus da UFC em Crateús - Início","29/11/2021","30/11/2021",true
"XVI Semana de Tecnologia – Centro de Tecnologia - Início","29/11/2021","29/11/2021",true
"XV Semana de Humanidades - Centro de Humanidades - Início","29/11/2021","29/11/2021",true
"Período de demanda de turmas regulares semestrais e anuais para Matrícula 2022.1 pelas coordenações de cursos de graduação – Início","29/11/2021","29/11/2021",true
"Encontros Universitários 2021 – Campus da UFC em Crateús, Fortaleza, Quixadá, Russas e Sobral","01/12/2021","03/12/2021",true
"VII Mostra ICA – Instituto de Cultura e Arte","01/12/2021","03/12/2021",true
"VIII Fórum de Inovação e Tecnologia e II Semana das Engenharias – Campus da UFC em Crateús - Término","01/12/2021","01/12/2021",true
"61º aniversário de criação do Labomar","02/12/2021","02/12/2021",true
"Período de demanda de turmas para Matrícula 2022.1 pelas Coordenações de Cursos de graduação a distância - Término","03/12/2021","03/12/2021",true
"XVI Semana de Tecnologia – Centro de Tecnologia – Término","03/12/2021","03/12/2021",true
"XV Semana de Humanidades - Centro de Humanidades - Término","03/12/2021","03/12/2021",true
"IX Seminário Cultura de Paz, Educação e Espiritualidade","04/12/2021","06/12/2021",true
"Graduação a distância: trancamento parcial de matrícula 2021.2","06/12/2021","08/12/2021",true
"Período de demanda de turmas regulares semestrais e anuais para Matrícula 2022.1 pelas coordenações de cursos de graduação – Término","07/12/2021","07/12/2021",true
"Feriado Municipal em SOBRAL – Nossa Senhora da Imaculada Conceição","08/12/2021","08/12/2021",true
"Solenidade em comemoração ao dia do Engenheiro e do ex-aluno do Centro de Tecnologia ","10/12/2021","10/12/2021",true
"Término do semestre letivo 2021.2 na UUNDC","10/12/2021","10/12/2021",true
"Período de resposta, por parte das Chefias de Departamento e Diretorias de Unidades Acadêmicas, às demandas de turma para matrícula 2022.1 feitas pelas Coordenações dos Cursos de graduação","13/12/2021","17/12/2021",true
"Graduação a distância: período de resposta, por parte da Diretoria de Unidade Acadêmica, às demandas de turma para matrícula 2022.1 feitas pelas Coordenações dos Cursos de graduação a distância ","13/12/2021","17/12/2021",true
"Dia Nacional do Engenheiro de Pesca","14/12/2021","14/12/2021",true
"Solenidade em comemoração ao dia do Arquiteto e alusão ao dia do Designer – Centro de Tecnologia","15/12/2021","15/12/2021",true
"67º Aniversário de Criação da UFC","16/12/2021","16/12/2021",true
"Reunião de Acompanhamento PDI - 4º Trimestre/2021","16/12/2021","16/12/2021",true
"III Encontro de Alfabetização e Letramento: Práticas e Reflexões - Faculdade de Educação","21/12/2021","21/12/2021",true
"Período de ajuste de demanda e oferta de turmas para matrícula 2022.1 para Coordenações de Curso, Chefias de Departamento e Diretorias de Unidades Acadêmicas – Início","22/12/2021","22/12/2021",true
"Recesso escolar ","23/12/2021","31/12/2021",true
"Véspera de natal - ponto facultativo após às 14 horas (de acordo com a Portaria nº 430, de 30 de dezembro de 2020, do Ministério da Economia)","24/12/2021","24/12/2021",true
"Feriado Nacional - Natal","25/12/2021","25/12/2021",true
"Véspera de Ano Novo - ponto facultativo após às 14 horas (de acordo com a Portaria nº 430, de 30 de dezembro de 2020, do Ministério da Economia)","31/12/2021","31/12/2021",true
"Feriado Nacional – Confraternização Universal","01/01/2022","01/01/2022",true
"Recesso escolar ","02/01/2022","08/01/2022",true
"67º Aniversário de Criação do Centro de Tecnologia","03/01/2022","03/01/2022",true
"Retomada do Período Letivo 2021.2 (cursos de graduação presenciais - sistema semestral e anual)","10/01/2022","10/01/2022",true
"Pós-graduação stricto sensu: homologação do trancamento em disciplinas pelos orientadores / coordenadores de cursos (via Internet)","10/01/2022","13/01/2022",true
"Pós-graduação stricto sensu: trancamento parcial de matrícula 2021.2 em disciplinas ","10/01/2022","11/01/2022",true
"Pós-graduação lato sensu: período de matrícula 2021.2 de alunos novos/veteranos (via internet na coordenação de curso) -  Término","09/02/2022","09/02/2022",true
"Término do Semestre Letivo 2021.2 – 100 dias letivos (Cursos de graduação presenciais) Último dia para pedidos de Trancamento Total, referente ao semestre 2021.2 ","10/02/2022","10/02/2022",true
"Graduação a distância: término do período letivo 2021.2
Último dia para pedidos de Trancamento Total de matrícula, referente ao semestre 2021.2 ","10/02/2022","10/02/2022",true
"Pós-graduação stricto e lato sensu: término do Período Letivo 2021.2","10/02/2022","10/02/2022",true
"Feriado Municipal em QUIXADÁ – Dia da Padroeira do Município: Nossa Senhora Rainha do Sertão","11/02/2022","11/02/2022",true
"Período de Avaliações Finais do Semestre 2021.2 – todos os campi","11/02/2022","18/02/2022",true
"Pós-graduação stricto sensu: oferta de disciplinas para o semestre 2022.1","14/02/2022","18/02/2022",true
"Período de ajuste de demanda e oferta de turmas para Matrícula 2022.1 para Coordenações de Curso, Chefias de Departamento e Diretorias de Unidades Acadêmicas – Término","15/02/2022","15/02/2022",true
"Graduação a distância: consolidação das sínteses de notas e frequências 2021.2 – Prazo final","17/02/2022","17/02/2022",true
"Consolidação das sínteses de notas e frequências 2021.2 das disciplinas semestrais e anuais pelos professores – Prazo Final","19/02/2022","19/02/2022",true
"Data de fechamento para o cálculo do IRA-Geral relativo a 2021.2 em todos os cursos de graduação","21/02/2022","21/02/2022",true
"Publicação na Internet da Oferta de Turmas para Matrícula no semestre 2022.1","21/02/2022","21/02/2022",true
"Ponto facultativo - Carnaval ","28/02/2022","28/02/2022",true
"Ponto facultativo - Carnaval","01/03/2022","01/03/2022",true
"Ponto facultativo até as 14:00 - Quarta-feira de Cinzas","02/03/2022","02/03/2022",true
"Dia do Bibliotecário ","12/03/2022","12/03/2022",true
"Feriado Estadual – Dia de São José","19/03/2022","19/03/2022",true
"Feriado Estadual – Data Magna do Ceará","25/03/2022","25/03/2022",true
"Último dia para para requerimento de Distinção Acadêmica (Cum Laude, Magna Cum Laude e Summa Cum Laude) nas Coordenações de Curso de Graduação pelos alunos concludentes do semestre 2021.2","11/04/2022","11/04/2022",true
"Último dia para remessa à PROGRAD do processo eletrônico contendo relação dos alunos concludentes, do semestre 2021.2 indicados pelas Coordenações de Curso de Graduação para concessão de distinção acadêmica (Cum Laude, Magna Cum Laude e Summa Cum Laude)","11/05/2022","11/05/2022",true